曲鲤:Aaptosyax grypus
杰克逊双边鱼:Ambassis jacksoniensis
麦氏双边鱼:Ambassis macleayi
玛丽双边鱼:Ambassis marianus
小眼双边鱼:Ambassis miops
贝纹双边鱼:Ambassis nalua
南非双边鱼:Ambassis natalensis
长棘双边鱼:Ambassis productus
尾纹双边鱼:Ambassis urotaenia
维氏双边鱼:Ambassis vachellii
黑线安巴鳅:Ambastaia nigrolineata
西氏安巴鳅:Ambastaia sidthimunki
澳洲双锯鲬:Ambiserrula jugosa
阴影钝鲈:Ambloplites ariommus
穴钝鲈:Ambloplites cavifrons
锥星钝鲈:Ambloplites constellatus
岩钝鲈:Ambloplites rupestris
阿氏钝头鮠:Amblyceps apangi
阿鲁查钝头鮠:Amblyceps arunchalensis
钻孔钝头鮠:Amblyceps foratum
侧头钝头鮠:Amblyceps laticeps
芒果钝头鮠:Amblyceps mangois
细尖钝头鮠:Amblyceps mucronatum
伊洛瓦底江钝头鮠:Amblyceps murraystuarti
锯齿钝头鮠:Amblyceps serratum
六丝钝尾虾虎鱼:Amblychaeturichthys hexanema
斑鳍钝尾虾虎鱼:Amblychaeturichthys sciistius
双斑钝:Amblycirrhitus bimacula
红点钝:Amblycirrhitus pinos
单斑钝:Amblycirrhitus unimacula
北美钝囊鲶:Amblydoras affinis
冈氏钝囊鲶:Amblydoras gonzalezi
大须钝囊鲶:Amblydoras nauticus
红带钝塘鳢:Amblyeleotris aurora
斜带钝塘鳢:Amblyeleotris diagonalis
唐宁氏钝塘鳢:Amblyeleotris downingi
条带钝塘鳢:Amblyeleotris fasciata
福氏钝塘鳢:Amblyeleotris fontanesii
点纹钝塘鳢:Amblyeleotris guttata
裸头钝塘鳢:Amblyeleotris gymnocephala
日本钝塘鳢:Amblyeleotris japonica
侧纹钝塘鳢:Amblyeleotris latifasciata
大丝钝塘鳢:Amblyeleotris macronema
马克萨斯岛钝塘鳢:Amblyeleotris marquesas
琉球钝塘鳢:Amblyeleotris masuii
黑头钝塘鳢:Amblyeleotris melanocephala
小笠原钝塘鳢:Amblyeleotris ogasawarensis
圆眶钝塘鳢:Amblyeleotris periophthalma
兰道氏钝塘鳢:Amblyeleotris randalli
红缘钝塘鳢:Amblyeleotris rubrimarginata
史氏钝塘鳢:Amblyeleotris steinitzi
孙氏钝塘鳢:Amblyeleotris sungami
威氏钝塘鳢:Amblyeleotris wheeleri
亚诺钝塘鳢:Amblyeleotris yanoi
短颌钝腹鲱:Amblygaster clupeoides
平胸钝腹鲱:Amblygaster leiogaster
斑点钝腹鲱:Amblygaster sirm
金凹牙豆娘鱼:Amblyglyphidodon aureus
巴氏凹牙豆娘鱼:Amblyglyphidodon batunai
库拉索凹牙豆娘鱼:Amblyglyphidodon curacao
黄侧凹牙豆娘鱼:Amblyglyphidodon flavilatus
印度凹牙豆娘鱼:Amblyglyphidodon indicus
白腹凹牙豆娘鱼:Amblyglyphidodon leucogaster
黄臀凹牙豆娘鱼:Amblyglyphidodon orbicularis
平颌凹牙豆娘鱼:Amblyglyphidodon ternatensis
白条钝虾虎鱼:Amblygobius albimaculatus
菲律宾钝虾虎鱼:Amblygobius buanensis
华丽钝虾虎鱼:Amblygobius decussatus
短唇钝虾虎鱼:Amblygobius nocturnus
尾斑钝虾虎鱼:Amblygobius phalaena
红海钝虾虎鱼:Amblygobius sphynx
胸眼钝虾虎鱼:Amblygobius stethophthalmus
罗莎穴鲈:Amblyopsis rosae
岩穴鲈:Amblyopsis spelaea
窄头钝孔虾虎鱼:Amblyotrypauchen arctocephalus
泰国钝齿鱼:Amblypharyngodon chulabhornae
印度钝齿鱼:Amblypharyngodon melettinus
磨齿钝齿鱼:Amblypharyngodon mola
寛带钝雀鲷:Amblypomacentrus clarus
宽钝头鳐:Amblyraja badia
多氏钝头鳐:Amblyraja doellojuradoi
