大眼鮭脂鯉:Alestes macrophthalmus
雙帶非洲鮭鯉:Alestopetersius bifasciatus
布氏非洲鮭鯉:Alestopetersius brichardi
短尾非洲鮭鯉:Alestopetersius caudalis
扁非洲鮭鯉:Alestopetersius compressus
尾斑非洲鮭鯉:Alestopetersius conspectus
希氏非洲鮭鯉:Alestopetersius hilgendorfi
灰鰭非洲鮭鯉:Alestopetersius nigropterus
通貝非洲鮭鯉:Alestopetersius tumbensis
刀鱗鱂:Alfaro cultratus
尼加拉瓜鱗鱂:Alfaro huberi
銀色食草鱥:Algansea amecae
墨西哥食草鱥:Algansea aphanea
熱帶食草鱥:Algansea avia
髯食草鱥:Algansea barbata
湖棲食草鱥:Algansea lacustris
山區食草鱥:Algansea monticola
斑尾食草鱥:Algansea tincella
大眼海鼬魚:Alionematichthys piger
琉球海鼬魚:Alionematichthys riukiuensis
喉奇蟾魚:Allenbatrachus grunniens
黑斑異鳚:Alloblennius pictus
喬氏異頭獅魚:Allocareproctus jordani
紅身異頭獅魚:Allocareproctus kallaion
細尾異頭獅魚:Allocareproctus tanix
金眼異頭獅魚:Allocareproctus unangas
阿留申島異頭獅魚:Allocareproctus ungak
霍氏異脂鳚:Alloclinus holderi
福氏異海魴:Allocyttus folletti
黑異海魴:Allocyttus niger
疣異海魴:Allocyttus verrucosus
赫氏異齒谷鱂:Allodontichthys hubbsi
多鱗異齒谷鱂:Allodontichthys polylepis
塔氏異齒谷鱂:Allodontichthys tamazulae
帶紋異齒谷鱂:Allodontichthys zonistius
黑斑異短刺魨:Allomycterus pilatus
壯體異蜂鱂:Alloophorus robustus
長身異胡瓜魚:Allosmerus elongatus
細鰹:Allothunnus fallai
貓異育鱂:Allotoca catarinae
戴氏異育鱂:Allotoca diazi
中美洲異育鱂:Allotoca dugesii
戈氏異育鱂:Allotoca goslinei
斑異育鱂:Allotoca maculata
米氏異育鱂:Allotoca meeki
皇異育鱂:Allotoca regalis
斑條異育鱂:Allotoca zacapuensis
淺海長尾鯊:Alopias pelagicus
大眼長尾鯊:Alopias superciliosus
弧形長尾鯊:Alopias vulpinus
藍背西鯡:Alosa aestivalis
阿戈西鯡:Alosa agone
阿拉巴馬西鯡:Alosa alabamae
阿爾及利西鯡:Alosa algeriensis
西鯡:Alosa alosa
黃綠西鯡:Alosa chrysochloris
偽西鯡:Alosa fallax
無斑西鯡:Alosa immaculata
歐洲西鯡:Alosa killarnensis
馬其頓西鯡:Alosa macedonica
柔西鯡:Alosa mediocris
擬沙西鯡:Alosa pseudoharengus
美洲西鯡:Alosa sapidissima
希臘西鯡:Alosa vistonica
圓尾鴛鴦鮨:Alphestes afer
無斑鴛鴦鮨:Alphestes immaculatus
密斑鴛鴦鮨:Alphestes multiguttatus
喬氏高身麗魚:Alticorpus geoffreyi
大頦高身麗魚:Alticorpus mentale
花點跳彈鳚:Alticus anjouanae
項冠跳彈鳚:Alticus arnoldorum
克氏跳彈鳚:Alticus kirkii
單色跳彈鳚:Alticus monochrus
南海跳彈鳚:Alticus montanoi
跳彈鳚:Alticus saliens
馬克薩斯島跳彈鳚:Alticus simplicirrus
光頭高身亮麗魚:Altolamprologus calvus
側扁高身亮麗魚:Altolamprologus compressiceps
藍條高身豆娘魚:Altrichthys azurelineatus
菲律賓高身豆娘魚:Altrichthys curatus
紫點革魨:Aluterus heudelotii
單角革魨:Aluterus monoceros
橙斑革魨:Aluterus schoepfii
擬態革魨:Aluterus scriptus
美尾棘魨:Amanses scopas
亞馬遜河小渠鯰:Amaralia hypsiura
卡氏無囊鯧:Amarsipus carlsbergi
中美洲嬌麗魚:Amatitlania coatepeque
黑帶嬌麗魚:Amatitlania nigrofasciata
橘斑嬌麗魚:Amatitlania siquia
亞馬遜棘脂鯉:Amazonspinther dalmata
亞馬遜鯷:Amazonsprattus scintilla
阿氏雙邊魚:Ambassis agassizii
帆鰭雙邊魚:Ambassis agrammus
安巴雙邊魚:Ambassis ambassis
布魯雙邊魚:Ambassis buruensis
康氏雙邊魚:Ambassis commersoni
杜氏雙邊魚:Ambassis dussumieri
黄鰭雙邊魚:Ambassis elongata
裸頭雙邊魚:Ambassis gymnocephalus
斷線雙邊魚:Ambassis interrupta
傑克遜雙邊魚:Ambassis jacksoniensis
麥氏雙邊魚:Ambassis macleayi
瑪麗雙邊魚:Ambassis marianus
小眼雙邊魚:Ambassis miops
貝紋雙邊魚:Ambassis nalua
南非雙邊魚:Ambassis natalensis
長棘雙邊魚:Ambassis productus
尾紋雙邊魚:Ambassis urotaenia
維氏雙邊魚:Ambassis vachellii
黑線安巴鰍:Ambastaia nigrolineata
西氏安巴鰍:Ambastaia sidthimunki
澳洲雙鋸鯒:Ambiserrula jugosa
陰影鈍鱸:Ambloplites ariommus
穴鈍鱸:Ambloplites cavifrons
錐星鈍鱸:Ambloplites constellatus
岩鈍鱸:Ambloplites rupestris
阿氏鈍頭鮠:Amblyceps apangi
阿魯查鈍頭鮠:Amblyceps arunchalensis
鑽孔鈍頭鮠:Amblyceps foratum
側頭鈍頭鮠:Amblyceps laticeps
芒果鈍頭鮠:Amblyceps mangois
細尖鈍頭鮠:Amblyceps mucronatum
伊洛瓦底江鈍頭鮠:Amblyceps murraystuarti
鋸齒鈍頭鮠:Amblyceps serratum
六絲鈍尾鰕虎:Amblychaeturichthys hexanema
斑鰭鈍尾鰕虎:Amblychaeturichthys sciistius
雙斑鈍:Amblycirrhitus bimacula
紅點鈍:Amblycirrhitus pinos
單斑鈍:Amblycirrhitus unimacula
北美鈍囊鯰:Amblydoras affinis
岡氏鈍囊鯰:Amblydoras gonzalezi
大鬚鈍囊鯰:Amblydoras nauticus
紅帶鈍塘鱧:Amblyeleotris aurora
斜帶鈍塘鱧:Amblyeleotris diagonalis
唐寧氏鈍塘鱧:Amblyeleotris downingi
條帶鈍塘鱧:Amblyeleotris fasciata
福氏鈍塘鱧:Amblyeleotris fontanesii
點紋鈍塘鱧:Amblyeleotris guttata
裸頭鈍塘鱧:Amblyeleotris gymnocephala
日本鈍塘鱧:Amblyeleotris japonica
側紋鈍塘鱧:Amblyeleotris latifasciata
大絲鈍塘鱧:Amblyeleotris macronema
馬克薩斯島鈍塘鱧:Amblyeleotris marquesas
琉球鈍塘鱧:Amblyeleotris masuii
黑頭鈍塘鱧:Amblyeleotris melanocephala
小笠原鈍塘鱧:Amblyeleotris ogasawarensis
圓眶鈍塘鱧:Amblyeleotris periophthalma
蘭道氏鈍塘鱧:Amblyeleotris randalli
紅緣鈍塘鱧:Amblyeleotris rubrimarginata
史氏鈍塘鱧:Amblyeleotris steinitzi
孫氏鈍塘鱧:Amblyeleotris sungami
威氏鈍塘鱧:Amblyeleotris wheeleri
亞諾鈍塘鱧:Amblyeleotris yanoi
短頜鈍腹鯡:Amblygaster clupeoides
平胸鈍腹鯡:Amblygaster leiogaster
斑點鈍腹鯡:Amblygaster sirm
金凹牙豆娘魚:Amblyglyphidodon aureus
巴氏凹牙豆娘魚:Amblyglyphidodon batunai
庫拉索凹牙豆娘魚:Amblyglyphidodon curacao
黃側凹牙豆娘魚:Amblyglyphidodon flavilatus
印度凹牙豆娘魚:Amblyglyphidodon indicus
白腹凹牙豆娘魚:Amblyglyphidodon leucogaster
黃臀凹牙豆娘魚:Amblyglyphidodon orbicularis
平頜凹牙豆娘魚:Amblyglyphidodon ternatensis
白條鈍鰕虎:Amblygobius albimaculatus
菲律賓鈍鰕虎:Amblygobius buanensis
華麗鈍鰕虎:Amblygobius decussatus
短唇鈍鰕虎:Amblygobius nocturnus
尾斑鈍鰕虎:Amblygobius phalaena
紅海鈍鰕虎:Amblygobius sphynx
胸眼鈍鰕虎:Amblygobius stethophthalmus
羅莎穴鱸:Amblyopsis rosae
岩穴鱸:Amblyopsis spelaea
窄頭鈍孔鰕虎:Amblyotrypauchen arctocephalus
泰國鈍齒魚:Amblypharyngodon chulabhornae
印度鈍齒魚:Amblypharyngodon melettinus
磨齒鈍齒魚:Amblypharyngodon mola
寛帶鈍雀鯛:Amblypomacentrus clarus
寬鈍頭鰩:Amblyraja badia
多氏鈍頭鰩:Amblyraja doellojuradoi
南極鈍頭鰩:Amblyraja georgiana
北極鈍頭鰩:Amblyraja hyperborea
詹氏鈍頭鰩:Amblyraja jenseni
棘背鈍頭鰩:Amblyraja radiata
